Report Datetime,Game Datetime,Game Date,Game Time,Matchup,Team,Player Name,Current Status,Reasons
0,2022-10-31 17:30:00,2022-10-31 19:00:00,10/31/2022,07:00 (ET),PHI@WAS,Philadelphia 76ers,"Champagnie, Julian",Out,G League - Two-Way
1,2022-10-31 17:30:00,2022-10-31 19:00:00,10/31/2022,07:00 (ET),PHI@WAS,Philadelphia 76ers,"Embiid, Joel",Out,Injury/Illness - N/A; Non-Covid illness
2,2022-10-31 17:30:00,2022-10-31 19:00:00,10/31/2022,07:00 (ET),PHI@WAS,Philadelphia 76ers,"Foster Jr., Michael",Out,G League - Two-Way
3,2022-10-31 17:30:00,2022-10-31 19:00:00,10/31/2022,07:00 (ET),PHI@WAS,Washington Wizards,"Kispert, Corey",Out,Injury/Illness - Left Ankle; Left ankle sprain
4,2022-10-31 17:30:00,2022-10-31 19:00:00,10/31/2022,07:00 (ET),PHI@WAS,Washington Wizards,"Wright, Delon",Out,Injury/Illness - Right Hamstring; Right hamstring strain
5,2022-10-31 17:30:00,2022-10-31 19:00:00,10/31/2022,07:00 (ET),SAC@CHA,Charlotte Hornets,"Ball, LaMelo",Out,Injury/Illness - Left Ankle; Sprain
6,2022-10-31 17:30:00,2022-10-31 19:00:00,10/31/2022,07:00 (ET),SAC@CHA,Charlotte Hornets,"Martin, Cody",Doubtful,Injury/Illness - Left Quad; Soreness
7,2022-10-31 17:30:00,2022-10-31 19:00:00,10/31/2022,07:00 (ET),SAC@CHA,Charlotte Hornets,"Rozier, Terry",Doubtful,Injury/Illness - Right Ankle; Sprain
8,2022-10-31 17:30:00,2022-10-31 19:00:00,10/31/2022,07:00 (ET),SAC@CHA,Sacramento Kings,"Ellis, Keon",Out,G League - Two-Way
9,2022-10-31 17:30:00,2022-10-31 19:00:00,10/31/2022,07:00 (ET),SAC@CHA,Sacramento Kings,"Moneke, Chima",Out,G League - On Assignment
10,2022-10-31 17:30:00,2022-10-31 19:00:00,10/31/2022,07:00 (ET),SAC@CHA,Sacramento Kings,"Queta, Neemias",Out,G League - Two-Way
11,2022-10-31 17:30:00,2022-10-31 19:30:00,10/31/2022,07:30 (ET),ATL@TOR,Atlanta Hawks,"Bogdanovic, Bogdan",Out,Injury/Illness - Right Knee; Injury Recovery
